prob,error,minimum,feval,niter,convergence
cubic_2.0_-2.0_3.0_2.0_100_3.csv,3.0069676570931847e-7,1.906149040520724e-12,5.0,5,true
cubic_-2.0_2.0_9.0_8.0_250_35.csv,1.626146094224623e-6,1.3763176343171604e-10,5.0,5,true
cubic_2.0_-2.5_8.5_4.0_950_76.csv,1.2102044655293298e-7,5.979677148869727e-12,5.0,5,true
cubic_2.0_3.5_-9.0_-9.0_500_85.csv,1.3500102655772395e-6,1.7660527757707698e-11,7.0,7,true
cubic_2.0_-4.5_10.0_-7.0_600_84.csv,5.3002047195604973e-11,7.583788871542487e-19,7.0,7,true
cubic_-2.0_5.0_3.5_0.5_400_76.csv,4.241348938727185e-9,3.594392107359283e-15,7.0,7,true
cubic_-2.0_7.0_1.0_-3.5_300_18.csv,4.939444213647448e-7,3.3774363317154736e-11,5.0,5,true
cubic_-2.0_7.0_6.5_7.5_750_38.csv,1.4639729428722603e-9,7.117421778681724e-16,6.0,6,true
cubic_-2.0_-9.5_-10.0_-3.5_150_28.csv,1.8528961298613922e-7,4.167627160376342e-12,8.0,8,true
cubic_2.0_9.5_-8.5_-7.0_850_119.csv,2.7331745311443e-7,2.6044703180959645e-11,6.0,6,true
cubic_2.0_9.5_-9.5_-1.0_550_55.csv,5.12096372040638e-6,3.0230248235781776e-10,6.0,6,true
cubic_2.5_-1.0_-10.0_2.0_300_63.csv,1.8149401981304436e-9,6.153923012673919e-16,14.0,14,true
cubic_2.5_-1.0_8.0_1.0_900_207.csv,3.9894382050910364,183.56525682330923,9.0,9,true
cubic_-2.5_1.0_9.5_3.0_300_75.csv,1.9925236571793903e-8,2.1320693783228993e-14,9.0,9,true
cubic_2.5_1.5_-3.0_0.5_350_52.csv,1.7390586781740325e-7,4.725858717573161e-12,6.0,6,true
cubic_-2.5_-2.0_-4.0_1.5_100_14.csv,3.3263828601536254,295.12736386054104,10.0,10,true
cubic_2.5_-3.0_5.0_-6.5_250_38.csv,3.470342235800672e-9,1.7565321152114179e-15,16.0,16,true
cubic_2.5_3.5_6.5_9.0_700_56.csv,2.8609026259118764e-10,1.2207684224075504e-17,7.0,7,true
cubic_2.5_-4.0_8.0_-7.5_850_144.csv,8.914184945751913e-10,1.4208003858444544e-16,16.0,16,true
cubic_2.5_4.5_2.5_7.0_400_52.csv,1.1509257991093591e-7,3.1221789160416607e-12,6.0,6,true
cubic_-2.5_5.0_-8.5_-0.5_600_42.csv,7.17359000201867e-7,6.359703936928774e-12,8.0,8,true
cubic_2.5_5.5_-1.5_-3.5_600_138.csv,4.999668591963337,1949.3915142451774,5.0,5,true
cubic_-2.5_-5.5_7.5_-1.5_750_135.csv,2.3846639329860864e-8,2.5956554643438215e-14,11.0,11,true
cubic_-2.5_-6.0_10.0_-7.5_800_136.csv,9.70267937105973e-8,7.025101127237342e-12,8.0,8,true
cubic_2.5_-6.5_2.5_6.0_800_104.csv,8.570211207370448e-11,3.0924822799452425e-18,7.0,7,true
cubic_2.5_8.0_-8.5_7.0_650_156.csv,1.0715428544472161e-10,2.6190958871894553e-18,16.0,16,true
cubic_-2.5_-8.5_-1.5_-3.5_550_104.csv,4.151159860299458e-9,3.9753310469882084e-15,11.0,11,true
