prob,error,minimum,feval,niter,convergence
cubic_-2.5_5.0_-8.5_-0.5_600_42.csv,8.496882439423814e-6,6.104926262557332e-9,503.0,288,true
cubic_2.5_5.5_-1.5_-3.5_600_138.csv,2.8019866897821544e-6,6.063446051453293e-9,488.0,285,true
cubic_-2.5_-5.5_7.5_-1.5_750_135.csv,1.4622469011627004e-5,8.446347602038479e-9,435.0,245,true
cubic_-2.5_-6.0_10.0_-7.5_800_136.csv,1.8648871709103787e-6,3.1881867284085066e-9,579.0,330,true
cubic_2.5_-6.5_2.5_6.0_800_104.csv,1.1687382053260365e-6,3.7064391619453814e-9,576.0,331,true
cubic_2.5_8.0_-8.5_7.0_650_156.csv,1.1699225497707744e-5,4.108613382378298e-8,551.0,305,true
cubic_-2.5_-8.5_-1.5_-3.5_550_104.csv,1.25546738849458e-6,3.776159097001088e-9,448.0,250,true
cubic_-2.5_-8.5_-9.5_-10.0_200_48.csv,1.0318358526717475e-5,5.451067477141722e-9,546.0,311,true
cubic_-2.5_9.5_2.0_1.5_250_42.csv,1.59520506093358e-6,4.392878112266458e-9,572.0,329,true
cubic_-3.0_1.5_-3.5_-6.5_300_39.csv,1.083091514608725e-5,2.443746830326534e-8,555.0,310,true
cubic_-3.0_-2.0_-3.5_-1.0_1000_100.csv,2.447676644923291e-6,8.898239471615284e-9,493.0,280,true
cubic_-3.0_-2.0_9.0_-2.0_100_25.csv,5.0589402790901516e-5,9.079976646506326e-9,460.0,267,true
cubic_3.0_-3.5_0.0_-2.5_500_90.csv,2.2584749017057055e-6,3.791169315619349e-9,488.0,275,true
cubic_-3.0_3.5_1.0_-8.5_100_13.csv,3.6398954232907954e-6,7.939759188159604e-9,621.0,352,true
cubic_3.0_4.5_-1.5_-6.0_350_88.csv,4.789221721868131e-6,3.4117349052533257e-9,540.0,311,true
cubic_-3.0_-4.5_7.5_-9.0_800_88.csv,6.3696140992774986e-6,4.0604834388801695e-9,518.0,285,true
cubic_-3.0_5.0_2.0_2.0_450_94.csv,2.0166019787382083e-6,1.5153945034214097e-9,422.0,240,true
cubic_3.0_5.0_4.5_5.5_500_50.csv,5.3732863971589495e-6,8.549043696829868e-9,496.0,280,true
cubic_3.0_-5.5_-2.0_-1.0_950_48.csv,1.1187462624739908e-5,1.186533714535001e-8,485.0,270,true
cubic_3.0_-6.5_2.0_-10.0_650_32.csv,6.71608189084516e-6,2.8325995763256687e-8,530.0,299,true
cubic_3.0_-6.5_-2.5_9.0_150_20.csv,3.4120022158745655e-6,2.898415022213921e-9,471.0,264,true
cubic_-3.0_-8.0_9.5_8.5_800_96.csv,7.95355768801187e-6,4.3152186587372155e-9,471.0,262,true
cubic_3.0_-8.5_-0.5_-0.5_750_105.csv,2.461548197607577e-6,1.9226294421591972e-8,410.0,234,true
cubic_-3.0_-8.5_-1.0_0.0_900_135.csv,5.4824705610911906e-6,8.442149264980449e-9,485.0,282,true
cubic_3.0_-9.0_-10.0_-4.0_200_40.csv,2.6481071900619213e-5,7.045159054522043e-9,458.0,260,true
cubic_3.5_10.0_-10.0_-2.5_950_142.csv,4.482834251362533e-6,9.637420684754625e-9,604.0,344,true
cubic_-3.5_10.0_-3.0_-2.0_450_50.csv,1.411486336122536e-5,2.3034520031658756e-9,429.0,241,true
cubic_3.5_1.0_-3.5_10.0_200_36.csv,1.4303635410328752e-5,2.7757917023275393e-8,775.0,437,true
cubic_-3.5_1.5_-1.5_-3.0_750_180.csv,4.108787519996326e-6,6.2897919723775734e-9,706.0,408,true
cubic_-3.5_2.5_5.5_4.5_1000_130.csv,5.19013183541972e-6,3.6081016800264954e-9,493.0,280,true
cubic_-3.5_-3.0_1.5_1.5_800_176.csv,1.8383846374092627e-6,1.1556203236539539e-9,498.0,284,true
cubic_-3.5_-3.5_8.5_5.0_800_80.csv,1.8022441157228286e-6,9.310043252445159e-9,600.0,339,true
cubic_-3.5_-6.0_-5.5_10.0_1000_100.csv,5.113799682376907e-6,6.027300567807028e-9,514.0,293,true
cubic_-3.5_7.0_1.0_-1.5_950_209.csv,2.5280538784588913e-6,2.5809486066850887e-8,662.0,376,true
cubic_-3.5_9.0_-8.5_-5.5_750_98.csv,3.568071942794404e-6,1.0803821062051375e-8,590.0,331,true
cubic_4.0_1.0_0.0_-8.0_550_126.csv,7.245438237951803e-6,1.4441291348796053e-8,473.0,260,true
cubic_-4.0_-1.0_6.5_0.5_150_28.csv,1.38365193791401e-6,3.755439780322946e-10,643.0,369,true
cubic_-4.0_1.5_-2.5_6.0_300_33.csv,3.315409325743701e-6,4.851885876655724e-9,525.0,294,true
cubic_4.0_-2.0_-2.5_-8.0_1000_170.csv,1.6567373757325754e-6,3.3785576855344078e-9,609.0,339,true
cubic_4.0_-2.0_-4.0_2.0_450_68.csv,1.0610678933709039e-5,2.9287241868823535e-8,427.0,232,true
cubic_4.0_2.5_-8.5_8.0_350_52.csv,1.9119896319530483e-6,1.5041711801277766e-8,583.0,337,true
cubic_-4.0_-4.0_3.5_-6.0_300_45.csv,1.051085224634818e-6,6.74330380580684e-9,702.0,398,true
cubic_4.0_4.0_5.0_2.5_300_30.csv,5.11976489292465e-6,1.4033934282238413e-8,664.0,379,true
cubic_4.0_-5.0_-9.5_7.0_350_66.csv,2.2859560440124937e-6,2.3348059535133956e-9,528.0,304,true
cubic_4.0_-5.5_-10.0_9.5_200_50.csv,4.913543346418692e-6,2.8984973878062554e-9,406.0,230,true
cubic_-4.0_5.5_-6.0_7.5_700_49.csv,2.654337313501287e-6,4.0096427848048025e-9,615.0,352,true
cubic_-4.0_6.5_0.5_-4.0_950_48.csv,2.222056098899472e-6,6.2627770460767564e-9,561.0,318,true
cubic_4.0_-7.0_7.0_-1.0_550_50.csv,9.052285466104593e-6,6.153804085989724e-9,403.0,227,true
cubic_4.0_7.5_9.0_-5.5_750_172.csv,3.4114493185910533e-6,4.209634565739354e-9,777.0,451,true
cubic_4.0_-8.0_5.0_-8.0_750_150.csv,2.9263177090399495e-6,5.711243647909785e-9,540.0,306,true
cubic_-4.0_8.5_1.5_-2.5_550_94.csv,2.4478230482571917e-6,3.1496862761911018e-9,659.0,377,true
cubic_4.0_-9.0_1.5_-6.5_400_52.csv,4.488307876693298e-6,4.523938912072519e-9,462.0,264,true
cubic_4.0_9.5_9.5_1.5_100_18.csv,1.2204321762077086e-6,7.91217006985368e-10,768.0,435,true
cubic_-4.5_0.5_-8.5_5.0_300_27.csv,2.465188066125279e-6,5.745882580647202e-9,684.0,383,true
cubic_-4.5_0.5_-8.5_-9.0_200_20.csv,1.0827642158428574e-5,5.289106265628379e-9,617.0,349,true
cubic_4.5_10.0_-5.0_-8.0_150_11.csv,4.9809776534459616e-6,5.169242320561273e-9,620.0,346,true
cubic_-4.5_-2.5_-4.0_4.5_700_154.csv,1.0713821092522835e-6,3.1497862414718607e-9,658.0,372,true
cubic_4.5_9.5_-4.5_-2.0_950_180.csv,1.1776956734266264e-6,1.3656348501029783e-9,779.0,438,true
cubic_5.0_-1.0_-8.5_2.0_450_112.csv,4.929875879078338e-6,5.412449181617707e-9,573.0,323,true
cubic_-5.0_-1.5_4.5_8.0_700_168.csv,1.477948737615975e-6,1.6889130881965565e-9,581.0,332,true
cubic_5.0_2.0_-2.5_5.0_350_70.csv,4.405247518818863,63.46392941900226,586.0,333,true
cubic_5.0_2.5_2.0_-3.0_150_32.csv,3.079448052556444e-6,3.2270471441223845e-9,613.0,343,true
cubic_5.0_2.5_-7.5_-9.5_800_112.csv,1.933094452510886e-6,8.946067033343544e-9,461.0,259,true
cubic_5.0_-4.0_6.0_-7.0_200_16.csv,3.9322944349606814e-6,1.2712183901291617e-8,590.0,330,true
cubic_-5.0_5.0_-0.5_-2.5_950_66.csv,2.073467104402038e-6,3.0357235165958613e-9,569.0,322,true
cubic_5.0_5.0_-6.5_6.0_950_171.csv,1.2983526522347688e-5,3.8070490468934915e-9,554.0,314,true
cubic_-5.0_5.5_6.5_3.5_500_110.csv,1.5660516434756744e-6,7.288445487703431e-9,588.0,329,true
cubic_5.0_-6.5_-8.0_1.5_550_94.csv,1.9466714218374648e-6,2.4706942843735453e-9,669.0,376,true
cubic_5.0_7.5_-9.0_-3.5_850_76.csv,3.337899826760804e-6,6.575742243753017e-9,539.0,304,true
cubic_-5.0_-8.0_2.5_-7.5_650_98.csv,4.191693292465715e-6,5.013369150375457e-9,541.0,312,true
cubic_-5.0_8.0_5.0_-3.5_350_18.csv,2.7004002483010936e-6,1.6954120697882965e-9,475.0,275,true
cubic_-5.0_8.0_-9.0_3.5_250_45.csv,3.0647181361587172e-6,2.7966832407770413e-9,603.0,341,true
cubic_-5.0_9.0_-3.5_-8.5_750_158.csv,2.8113987688982434e-6,4.572883441690312e-9,573.0,321,true
cubic_5.0_9.5_2.5_0.5_850_212.csv,8.895582982448857e-7,9.443249999612847e-9,673.0,383,true
cubic_-5.5_0.0_6.0_10.0_800_112.csv,1.2319060367360635e-6,3.522835769227614e-9,647.0,363,true
cubic_-5.5_-10.0_-6.5_-0.5_800_64.csv,7.617750991784078e-6,7.306034321973145e-9,544.0,309,true
cubic_-5.5_-1.0_-4.5_7.0_300_75.csv,4.995188175982435e-6,7.29029416890614e-9,690.0,390,true
cubic_5.5_-2.5_2.5_-6.0_300_36.csv,1.641941061336638e-6,2.9444583453965508e-9,649.0,370,true
cubic_5.5_3.5_-10.0_-5.0_100_7.csv,1.1520235588591277e-5,1.0815388742427651e-8,652.0,365,true
cubic_5.5_5.5_-5.5_-3.0_750_112.csv,6.158462458042925,390.0159343407227,377.0,215,true
cubic_-5.5_-7.0_-1.0_-6.0_200_20.csv,1.3500870019278466e-5,3.261911395717471e-9,502.0,284,true
cubic_5.5_-8.5_-5.0_9.0_350_35.csv,2.7479615685166436e-6,1.428460991133418e-9,501.0,288,true
