MO	Tempo
2.355	832
2.358	784
2.358	684
2.359	623
2.359	656
2.397	753
2.403	626
2.559	961
2.56	588
2.563	554
2.563	991
2.564	980
3.176	405
3.177	380
3.178	323
3.179	400
3.179	304
3.18	301
3.27	373
3.27	427
3.281	422
3.281	246
3.285	380
3.3	328
3.331	392
3.38	283
3.391	464
3.4	370
3.418	417
3.442	392
3.758	402
3.77	373
3.779	393
3.821	346
3.862	397
3.863	300
3.87	350
3.892	325
